番王小丑何足论,2,番王小丑何足论，
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,576112.11672567332,0.0
daxp-DiTouLi-NvQiJie.xml_0,低头离了洪洞县，,702154.51084286033,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,872663.41489198455,1.0
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,1306200.163648423,0.0
sdxp-DangNianHan-SanJiZhang.xml_19,非是女儿言不逊，,1372772.03052378,0.0
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,1439684.6464811678,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,1439684.6464811678,0.0
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,1787436.582517518,0.0
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,2296708.2333076145,0.0
daxp-SuSanLi-NvQiJie.xml_0,苏三离了洪洞县，,2560046.2972624837,0.0
sdxp-DangNianHan-SanJiZhang.xml_17,仙女配的是董永，,2560046.2972624837,0.0
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,2586470.6963719837,0.0
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,2804583.1591399689,0.0
sdxp-DangNianHan-SanJiZhang.xml_15,未央宫斩的是韩信，,2818834.6024241415,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,2842781.957657082,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,2998482.2676070025,0.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,3465176.6219455209,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,3495181.8660148229,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,3963712.878121532,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,3994228.2635290031,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,4008853.1039529401,0.0
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,4029413.7278770437,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,4043622.3963767872,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,4049150.781641027,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,4098516.9395256941,0.0
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,4132950.2731317775,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,4381756.4583323272,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,4383631.8087375341,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,4403315.3485958371,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,4415430.4440859715,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,4440919.3911676658,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,4458661.6439871546,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,4458661.6439871546,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,4463139.9368400723,0.42857142857142855
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,4577594.9856959051,0.0
sdxp-SuLongWei-WuJiaPo.xml_26,你我同把相府进，,4618974.5194028374,0.0
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,4742785.0768265799,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,4751571.3415248916,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,4861400.0246410379,0.0
