番王小丑何足论,2,番王小丑何足论，
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,461380.50916490762,0.0
daxp-DiTouLi-NvQiJie.xml_0,低头离了洪洞县，,591329.69852815219,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,934827.97479592229,1.0
sdxp-DangNianHan-SanJiZhang.xml_19,非是女儿言不逊，,1056779.3519395276,0.0
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,1323919.2722890121,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,1323919.2722890121,0.0
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,1445247.9316086883,0.0
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,1734994.4473303943,0.0
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,2021545.0192155777,0.0
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,2226343.7923529162,0.0
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,2698304.3170798025,0.0
daxp-SuSanLi-NvQiJie.xml_0,苏三离了洪洞县，,2722069.5609539417,0.0
sdxp-DangNianHan-SanJiZhang.xml_17,仙女配的是董永，,2722069.5609539417,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,2758158.2519541075,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,2862451.1433013268,0.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,3100830.2701396006,0.0
sdxp-DangNianHan-SanJiZhang.xml_15,未央宫斩的是韩信，,3132585.5402043415,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,3308424.7822223958,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,3539458.8310086783,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,3654255.8365727025,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,3664140.225248565,0.0
sdxp-SuLongWei-WuJiaPo.xml_26,你我同把相府进，,3809269.9433532613,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,3860306.0982075348,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,4009851.050434744,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,4069429.3731059353,0.0
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,4106171.7921568947,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,4229971.0715294573,0.0
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,4268512.3061267668,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,4284468.1102429582,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,4312685.8638578141,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,4314841.1095037004,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,4467087.9006140456,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,4520265.3761881152,0.0
