有生之日责当尽,7,有生之日责当尽，
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,1390037.7327687873,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,1441967.6119907424,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,1488193.5669027281,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,1912121.2279019053,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,1964832.0336855345,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,1968212.0079498563,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,2243683.3882515398,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,2399617.5625311811,1.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,2462606.9532549307,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,2593422.0253863237,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,2690454.2115342235,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,2795411.2631106796,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,2844235.9339193925,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,2876449.2070167847,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,2897356.6914368505,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,3200079.2595319008,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,3237908.9031038424,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,3297495.6002493449,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,3484203.5249739168,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,3499697.947536876,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,3512504.6718054102,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,3586464.2900028182,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,3596690.6918658023,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,3610249.878104127,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,3674980.4807035509,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,3689763.0167174549,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,3717283.5444876608,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,3726766.7122580698,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,3740494.1921010693,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,3823638.177227872,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,3870905.9737115866,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,3924653.5544845737,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,3994095.8998165894,0.14285714285714285
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,4025984.5298077683,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,4028972.661056512,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,4036450.4627437615,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,4077056.5194850382,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,4091795.362052015,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,4145243.4110743152,0.14285714285714285
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,4219939.4540371653,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,4255835.123879727,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,4281907.2287881179,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,4348378.6174592981,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,4351514.2578732008,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,4468325.6060629189,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,4471179.9745594803,0.14285714285714285
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,4493889.5239070281,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,4563881.8475044267,0.14285714285714285
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,4595817.6307259351,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,4630365.576420662,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,4632246.6297490159,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,4766784.6273168363,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,4772934.5604438232,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,4775861.0167979812,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,4780921.5901656952,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,4862177.606730409,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,4871019.4607779654,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,4893332.1517790165,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,4906819.1863715248,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,4906819.1863715248,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,4928152.0130504696,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,4954044.4582044333,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,4964167.5004437063,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,4977451.8545955904,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,4985974.1306108441,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,5004482.9842579365,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,5024531.6255080197,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,5053646.6566814948,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,5196061.9462346612,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,5199677.8100243844,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,5229279.4849673864,0.14285714285714285
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,5230874.0305547826,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,5276553.7547475221,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,5302708.2101542288,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,5311912.0750851892,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,5361588.7100776518,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,5406682.3230621517,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,5446984.6809985172,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,5484746.5032520043,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,5497142.9669748098,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,5507649.5803447654,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,5571164.0050046714,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,5571314.563162148,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,5604933.0783864846,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,5614019.8747234251,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,5690887.5106810266,0.0
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,5738947.3560067071,0.14285714285714285
