寸土怎能够属于他人,29,寸土怎能够属于他人。
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,1944190.2464150649,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,1952938.1385811577,0.1111111111111111
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,2254981.4502594918,0.1111111111111111
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,2388022.8986178744,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,2416463.6354451287,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,2541331.7091881731,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,2593918.7625010302,0.1111111111111111
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,2778886.3364849836,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,2788396.4565816238,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,3009433.9956684201,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,3043734.8052988164,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,3072239.3515467611,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,3209664.5853855726,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,3216522.0356920371,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,3242476.7171881092,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,3291797.0254680822,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,3301099.4511413551,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,3385486.2544997772,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,3424720.0455971039,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,3514632.9060593438,0.1111111111111111
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,3581501.5789309293,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,3612169.2904801629,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,3630271.2226443673,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,3705342.0748149608,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,3713067.1141138836,0.3333333333333333
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,3734794.9527701475,0.1111111111111111
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,3881164.5492125954,0.1111111111111111
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,3977184.4998469031,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,4036003.5721313274,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,4050459.2290152917,1.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,4083159.00663319,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,4105135.0341232307,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,4117187.1674782215,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,4204996.1156390319,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,4261361.2023468399,0.1111111111111111
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,4345218.1432601856,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,4448265.0459263986,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,4524334.7198948422,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,4531154.6540559558,0.1111111111111111
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,4533786.6844040649,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,4576258.2765539717,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,4610460.5975781651,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,4686980.1101589482,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,4722090.2980242958,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,4736454.8724763431,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,4747107.9291013153,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,4765965.3709968748,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,4809487.7538264142,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,4816698.5106624579,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,4844638.7766422546,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,4859801.9193440368,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,4941329.6626765793,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,4992567.4324253779,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,5006591.8075566413,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,5090509.1221508589,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,5125341.7288680086,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,5127055.531620794,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,5130523.358229843,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,5142814.6752878837,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,5206023.2562601846,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,5218641.4914356945,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,5223945.0002447022,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,5228761.3706114115,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,5246114.320213452,0.1111111111111111
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,5300050.706895588,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,5342245.846038403,0.1111111111111111
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,5367395.3715149695,0.1111111111111111
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,5382916.7135141063,0.1111111111111111
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,5388633.390785723,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,5443980.7042512903,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,5459606.4692166541,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,5475391.7863974217,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,5503704.4114657957,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,5534192.8109617708,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,5610359.8647667402,0.0
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,5643121.4265243951,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,5650901.2924212329,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,5691767.9750942541,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,5699322.8467506766,0.1111111111111111
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,5705647.706886135,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,5751072.235059537,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,5793286.6154568195,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,5799965.0402741646,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,5823896.7751313616,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,5841782.5807299018,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,5879750.2280618185,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,5908575.7857389627,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,5912058.0174406637,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,5947075.9042614326,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,5947075.9042614326,0.1111111111111111
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,6002374.9078001976,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,6012154.7316209823,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,6042296.1444812203,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,6043830.4590292862,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,6057748.9878461063,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,6072157.2979345303,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,6074523.3586753737,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,6159812.5534704104,0.0
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,6171007.9031224959,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,6186791.9452413069,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,6188358.900702578,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,6232043.3844265025,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,6250438.6931667486,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,6262488.577654561,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,6268116.1359656956,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,6322418.8013058379,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,6337579.5654857699,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,6368405.5336649157,0.1111111111111111
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,6372799.5930557018,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,6380141.8176695695,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,6389673.0891683744,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,6421664.2443189118,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,6424929.833164704,0.1111111111111111
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,6456536.3075765772,0.1111111111111111
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,6479843.3889551247,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,6515914.0563336173,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,6522348.0664187837,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,6528156.3601052389,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,6529749.8308446584,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,6550062.5682782177,0.0
