我一剑能挡百万的兵,0,我一剑能挡百万兵。
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,2610742.6580186319,0.8888888888888888
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,4562950.7171351882,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,4631066.3222773746,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,4631066.3222773746,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,4719196.5209871558,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,4867660.0223094365,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,4966679.3368744962,0.1111111111111111
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,4991390.0645703999,0.1111111111111111
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,5129597.2655946352,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,5166779.1015513353,0.1111111111111111
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,5196348.0176467579,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,5222712.0483263684,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,5362559.5896766353,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,5364934.3746495927,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,5370137.8717967262,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,5394720.6655756589,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,5416173.9234037548,0.2222222222222222
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,5442042.8571495069,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,5487934.4018187011,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,5510108.6921730014,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,5593472.5835742382,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,5616871.4365637004,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,5774494.6656946111,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,5812224.7075902903,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,5817298.4791064234,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,5849746.9291154239,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,5861832.3151540998,0.1111111111111111
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,5889038.9454213921,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,5920727.3297191476,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,5964088.3579776473,0.1111111111111111
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,6009973.4058742477,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,6061131.6783368327,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,6109457.5065301657,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,6149166.7749979924,0.2222222222222222
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,6163938.6452692654,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,6191947.557157997,0.1111111111111111
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,6209057.0276025804,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,6218172.5660301475,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,6277029.6702398015,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,6282484.0161755309,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,6341157.4102094946,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,6365450.4993537096,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,6365526.2617938053,0.2222222222222222
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,6392248.5196213163,0.1111111111111111
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,6393335.13429596,0.1111111111111111
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,6448738.9501856593,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,6449396.1942502251,0.2222222222222222
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,6470632.0035607712,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,6488322.2372130044,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,6495791.5404895023,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,6498227.7917999048,0.1111111111111111
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,6533310.3391224975,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,6545834.1046406012,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,6556012.2216457613,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,6566760.5018444834,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,6591997.0599034568,0.1111111111111111
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,6643233.8415715145,0.1111111111111111
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,6661716.1399911353,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,6680209.4598136125,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,6695307.1350290403,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,6695739.1201941762,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,6805523.202914984,0.1111111111111111
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,6812067.1639099419,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,6851180.515305995,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,6872200.8947222708,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,6883206.04412001,0.1111111111111111
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,6915430.9102599984,0.1111111111111111
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,6939900.0844928697,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,6953489.9674519291,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,6963083.977810462,0.0
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,6976663.1591689289,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,6977890.8458525939,0.2222222222222222
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,7035267.7246638974,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,7071912.850916218,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,7118807.2947185347,0.1111111111111111
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,7124711.1351891151,0.0
