敌血飞溅石榴裙,0,敌血飞溅石榴裙。
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,642184.93028871214,1.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,1064277.126691486,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,2191729.3440851183,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,2209607.969702939,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,2231251.3545804257,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,2682960.1298691006,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,2682960.1298691006,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,2786946.73630002,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,2896631.9228532938,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,2896631.9228532938,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,2961430.4048354826,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,3096266.1008799416,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,3442685.138181468,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,3535280.9799801628,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,3718081.8361634123,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,3756763.7435627561,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,3775565.25808413,0.0
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,3787437.1340172985,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,3801545.4716092371,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,3938755.4245853494,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,3961466.5819248622,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,3965670.5479241512,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,3966946.3680954515,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,3985913.6788066248,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,3998347.4232044183,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,4009993.974978603,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,4081886.7551321718,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,4085846.7368690087,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,4130332.3029713482,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,4134118.9081684258,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,4134118.9081684258,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,4136388.1634082529,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,4149652.7255409677,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,4151242.8339058175,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,4200726.7735729283,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,4200729.4687377103,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,4236636.484955919,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,4293037.0495869908,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,4293617.9453944508,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,4294523.2183118174,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,4299669.209563585,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,4306342.1313065886,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,4312368.3514803145,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,4359065.3233961314,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,4394156.6009073369,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,4421074.8235019716,0.0
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,4449387.1999031352,0.0
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,4470890.8618567893,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,4489053.9030527798,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,4515964.5062944498,0.0
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,4555626.8836081401,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,4590657.0597753394,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,4627262.0382851884,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,4652301.3303612079,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,4653640.9838086907,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,4657262.3850932969,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,4705812.8344288263,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,4719758.1527054077,0.0
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,4732861.2657373631,0.0
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,4745078.6075819349,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,4745221.8115772977,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,4766810.6617188649,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,4794780.0791575685,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,4800098.1841209782,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,4802444.7855790323,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,4887149.892036383,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,4913985.5850255452,0.0
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,4916112.5399478804,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,4917968.0482371617,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,4961580.629055053,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,4964896.3452571547,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,4971326.5868667681,0.0
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,4973051.9260261608,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,4979341.689943783,0.0
