敌血飞溅石榴裙,0,敌血飞溅石榴裙。
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,666277.43710631621,1.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,905975.15752386546,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,1974579.9684822049,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,1977970.7616574329,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,2031165.7748790707,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,2275609.3858678667,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,2325193.4352038871,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,2666243.1362588173,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,2739646.25647044,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,2753548.5143488175,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,2753548.5143488175,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,2915946.9858643599,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,2915946.9858643599,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,2982485.4545326447,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,3003464.3184082601,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,3062732.3736534608,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,3109139.7325167698,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,3146388.6635136232,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,3323958.3713122616,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,3327902.6686287709,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,3364687.494763345,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,3383688.1989003983,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,3386067.9296358335,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,3491952.2683705874,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,3526268.0496567669,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,3528197.1093821153,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,3588948.9132879549,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,3610836.6110553141,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,3627225.0256909071,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,3647251.0756047,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,3716539.7336516241,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,3761769.4200752564,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,3766193.7516238261,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,3829029.4476088113,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,3846368.6620628298,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,3854453.5426809317,0.0
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,3857756.6620595856,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,3862349.6398097971,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,3899038.1364133619,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,3910400.9520020569,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,3922651.1382750827,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,3931213.4161940739,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,3959388.1855075029,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,3969410.1541175079,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,3969412.3490064456,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,4035658.2473805002,0.0
