我一剑能挡百万的兵,14,我一剑能挡百万兵。
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,3109993.8770711152,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,3618268.6841501929,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,3710132.4263283648,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,3729145.638537812,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,3948277.5757958754,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,4063271.5816454105,0.1111111111111111
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,4124536.2654004861,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,4169270.2742753457,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,4271646.3515872462,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,4324786.5788153764,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,4344675.0720783761,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,4422383.662828953,0.2222222222222222
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,4479776.3416075502,0.1111111111111111
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,4673287.9675754374,0.1111111111111111
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,4688275.3251373842,0.8888888888888888
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,4699626.5034987349,0.1111111111111111
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,4734699.2387958206,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,4750011.3891447373,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,4761255.6581030311,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,4795573.6903912863,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,4812296.3963538259,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,4821712.5906018866,0.2222222222222222
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,4892834.9546285039,0.2222222222222222
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,4940792.2709936006,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,4945152.3247302528,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,4984029.5901547931,0.1111111111111111
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,5008719.8701768825,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,5035588.7630891046,0.1111111111111111
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,5056306.5378346369,0.1111111111111111
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,5161163.2033848334,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,5183496.2458965378,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,5194445.8321967581,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,5198489.1186168045,0.0
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,5215000.6721143769,0.0
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,5223480.9428644245,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,5238052.1164200967,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,5260179.7109764926,0.1111111111111111
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,5284375.4141591853,0.1111111111111111
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,5299153.1437516222,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,5308781.5857758019,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,5405959.2243376328,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,5412617.2175286282,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,5445987.8345084693,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,5456170.9056046018,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,5456170.9056046018,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,5469956.0802317783,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,5474900.9388358183,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,5613121.6584228575,0.1111111111111111
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,5668885.0465461183,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,5774253.7788830167,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,5803079.8202972561,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,5811717.8706358578,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,5811869.153308318,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,5816025.2052421281,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,5827014.7167867832,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,5839557.9307747772,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,5893457.1511978051,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,5915138.5281299148,0.1111111111111111
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,5929213.0462017171,0.1111111111111111
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,5951488.0423403038,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,5970237.5696576694,0.1111111111111111
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,5981910.8095848197,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,6010806.759768947,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,6010806.759768947,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,6048983.2525496744,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,6052578.9583872212,0.1111111111111111
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,6062792.4976363806,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,6066579.7351084445,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,6069494.3292172123,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,6096864.0828462644,0.1111111111111111
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,6109616.7889858615,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,6119848.5031764824,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,6125850.0908697695,0.1111111111111111
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,6171349.9411864029,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,6212189.9073879439,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,6214026.8720733272,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,6220814.0756886769,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,6241858.4109635837,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,6261487.0055737291,0.0
