寸土怎能够属于他人,6,寸土怎能够属于他人。
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,2399833.3046686808,0.1111111111111111
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,2436286.1162647707,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,2494938.4987681662,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,2580295.4265582664,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,2602748.0639993637,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,2692008.6666983855,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,2777642.3631461724,1.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,2858165.530818433,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,2872530.7097943281,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,2915334.647250229,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,2958933.8222328229,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,3195130.4824795933,0.1111111111111111
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,3395672.2984274314,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,3400324.1599875973,0.1111111111111111
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,3400455.4142145347,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,3549941.8742992096,0.1111111111111111
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,3591258.7719149627,0.1111111111111111
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,3664469.1781541584,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,3742721.8697823263,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,3751098.8634503293,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,3759653.2499850164,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,3880117.400816611,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,3883121.2981051318,0.1111111111111111
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,3917604.5622179671,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,3929359.6275207903,0.1111111111111111
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,3929571.2695291443,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,3940097.8907836662,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,3961415.2644390669,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,3996588.0465237126,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,4055654.6821727967,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,4073670.6948564588,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,4198903.6440373175,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,4289001.8911344344,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,4399988.433170842,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,4446123.6965851299,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,4450124.9611485591,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,4463664.9828139665,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,4480874.3553066589,0.0
